"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"0100","33.649187","-117.989034",1010001
"0100","33.423040","-117.609210",120003
"0100","33.553200","-117.809590",650006
"0100","33.457440","-117.648980",260006
"0100","33.649400","-117.989370",1010002
"0100","33.423090","-117.609240",120004
"0100","33.553310","-117.809940",650007
"0100","33.457550","-117.649320",260007
"0100","33.649580","-117.989650",1010003
"0100","33.423150","-117.609270",120005
"0100","33.553400","-117.810150",650008
"0100","33.457600","-117.649490",260008
"0100","33.650600","-117.991280",1010004
"0100","33.423380","-117.609400",120006
"0100","33.553460","-117.810290",650009
"0100","33.457690","-117.649660",260009
"0100","33.650770","-117.991560",1010005
"0100","33.423540","-117.609490",120007
"0100","33.553500","-117.810350",650010
"0100","33.457820","-117.649910",260010
"0100","33.651200","-117.992240",1010006
"0100","33.423590","-117.609520",120008
"0100","33.553670","-117.810660",650011
"0100","33.457850","-117.649980",260011
"0100","33.651320","-117.992430",1010007
"0100","33.423780","-117.609630",120009
"0100","33.553800","-117.810870",650012
"0100","33.457870","-117.650010",260012
"0100","33.651590","-117.992860",1010008
"0100","33.423880","-117.609680",120010
"0100","33.554190","-117.811520",650013
"0100","33.457987","-117.650174",260013
"0100","33.651710","-117.993050",1010009
"0100","33.424070","-117.609790",120011
"0100","33.554290","-117.811690",650014
"0100","33.457987","-117.650174",270001
"0100","33.651770","-117.993140",1010010
"0100","33.424330","-117.609930",120012
"0100","33.554350","-117.811780",650015
"0100","33.458120","-117.650360",270002
"0100","33.652590","-117.994460",1010011
"0100","33.424650","-117.610110",120013
"0100","33.554560","-117.812130",650016
"0100","33.458210","-117.650450",270003
"0100","33.652790","-117.994770",1010012
"0100","33.424710","-117.610140",120014
"0100","33.554960","-117.812790",650017
"0100","33.458360","-117.650600",270004
"0100","33.652850","-117.994870",1010013
"0100","33.424760","-117.610170",120015
"0100","33.555090","-117.813010",650018
"0100","33.458380","-117.650620",270005
"0100","33.652960","-117.995070",1010014
"0100","33.425010","-117.610320",120016
"0100","33.555470","-117.813630",650019
"0100","33.458610","-117.650810",270006
"0100","33.653180","-117.995530",1010015
"0100","33.425170","-117.610420",120017
"0100","33.555640","-117.813940",650020
"0100","33.458720","-117.650900",270007
"0100","33.653310","-117.995790",1010016
"0100","33.425370","-117.610550",120018
"0100","33.555800","-117.814290",650021
"0100","33.458920","-117.651050",270008
"0100","33.653532","-117.996253",1010017
"0100","33.425430","-117.610600",120019
"0100","33.555864","-117.814437",650022
"0100","33.459030","-117.651150",270009
"0100","33.653532","-117.996253",1020001
"0100","33.425560","-117.610720",120020
"0100","33.555864","-117.814437",660001
"0100","33.459110","-117.651230",270010
"0100","33.653550","-117.996290",1020002
"0100","33.425680","-117.610840",120021
"0100","33.555900","-117.814520",660002
"0100","33.459130","-117.651260",270011
"0100","33.653620","-117.996420",1020003
"0100","33.425810","-117.610970",120022
"0100","33.555960","-117.814650",660003
"0100","33.459220","-117.651360",270012
"0100","33.653870","-117.996870",1020004
"0100","33.425910","-117.611060",120023
"0100","33.556110","-117.815010",660004
"0100","33.459359","-117.651530",270013
"0100","33.654020","-117.997130",1020005
"0100","33.425980","-117.611120",120024
"0100","33.556640","-117.816280",660005
"0100","33.459359","-117.651530",280001
"0100","33.654290","-117.997590",1020006
"0100","33.426070","-117.611210",120025
"0100","33.556870","-117.816800",660006
"0100","33.459490","-117.651690",280002
"0100","33.654370","-117.997730",1020007
"0100","33.426350","-117.611480",120026
"0100","33.557070","-117.817260",660007
"0100","33.459560","-117.651790",280003
"0100","33.654890","-117.998640",1020008
"0100","33.426436","-117.611560",120027
"0100","33.557280","-117.817650",660008
"0100","33.459690","-117.652060",280004
"0100","33.655050","-117.998910",1020009
"0100","33.426436","-117.611560",130001
"0100","33.557470","-117.817950",660009
"0100","33.459760","-117.652200",280005
"0100","33.655510","-117.999620",1020010
"0100","33.426480","-117.611600",130002
"0100","33.557630","-117.818160",660010
"0100","33.459830","-117.652380",280006
"0100","33.655650","-117.999820",1020011
"0100","33.426720","-117.611830",130003
"0100","33.557870","-117.818450",660011
"0100","33.459910","-117.652600",280007
"0100","33.655691","-117.999877",1020012
"0100","33.426960","-117.612060",130004
"0100","33.558060","-117.818640",660012
"0100","33.459960","-117.652830",280008
"0100","33.655691","-117.999877",1030001
"0100","33.427030","-117.612130",130005
"0100","33.558570","-117.819130",660013
"0100","33.459980","-117.652930",280009
"0100","33.655730","-117.999930",1030002
"0100","33.427560","-117.612640",130006
"0100","33.559090","-117.819630",660014
"0100","33.460060","-117.653410",280010
"0100","33.655760","-117.999970",1030003
"0100","33.427860","-117.612920",130007
"0100","33.559480","-117.820050",660015
"0100","33.460070","-117.653500",280011
"0100","33.656100","-118.000430",1030004
"0100","33.427910","-117.612970",130008
"0100","33.559730","-117.820360",660016
"0100","33.460104","-117.653777",280012
"0100","33.656380","-118.000820",1030005
"0100","33.428008","-117.613063",130009
"0100","33.559940","-117.820650",660017
"0100","33.460104","-117.653777",290001
"0100","33.656650","-118.001200",1030006
"0100","33.428008","-117.613063",140001
"0100","33.560530","-117.821460",660018
"0100","33.460130","-117.653990",290002
"0100","33.656900","-118.001550",1030007
"0100","33.428140","-117.613190",140002
"0100","33.560630","-117.821600",660019
"0100","33.460160","-117.654270",290003
"0100","33.657045","-118.001753",1030008
"0100","33.428200","-117.613250",140003
"0100","33.560890","-117.821950",660020
"0100","33.460170","-117.654450",290004
"0100","33.657045","-118.001753",1040001
"0100","33.428390","-117.613440",140004
"0100","33.561060","-117.822190",660021
"0100","33.460160","-117.654580",290005
"0100","33.657150","-118.001900",1040002
"0100","33.428660","-117.613710",140005
"0100","33.561300","-117.822530",660022
"0100","33.460120","-117.654770",290006
"0100","33.657640","-118.002580",1040003
"0100","33.428880","-117.613910",140006
"0100","33.561540","-117.822860",660023
"0100","33.460060","-117.654950",290007
"0100","33.657770","-118.002750",1040004
"0100","33.429050","-117.614070",140007
"0100","33.561730","-117.823130",660024
"0100","33.459990","-117.655110",290008
"0100","33.657940","-118.002990",1040005
"0100","33.429190","-117.614230",140008
"0100","33.562080","-117.823560",660025
"0100","33.459930","-117.655190",290009
"0100","33.658080","-118.003190",1040006
"0100","33.429310","-117.614400",140009
"0100","33.562360","-117.823830",660026
"0100","33.459880","-117.655250",290010
"0100","33.658330","-118.003550",1040007
"0100","33.429420","-117.614580",140010
"0100","33.562610","-117.824040",660027
"0100","33.459810","-117.655350",290011
"0100","33.658480","-118.003760",1040008
"0100","33.429470","-117.614690",140011
"0100","33.562830","-117.824220",660028
"0100","33.459740","-117.655430",290012
"0100","33.658542","-118.003840",1040009
"0100","33.429510","-117.614790",140012
"0100","33.562940","-117.824310",660029
"0100","33.459590","-117.655560",290013
"0100","33.658542","-118.003840",1050001
"0100","33.429540","-117.614860",140013
"0100","33.563140","-117.824500",660030
"0100","33.459520","-117.655670",290014
"0100","33.658550","-118.003850",1050002
"0100","33.429590","-117.614980",140014
"0100","33.563410","-117.824790",660031
"0100","33.459500","-117.655740",290015
"0100","33.658920","-118.004380",1050003
"0100","33.429640","-117.615130",140015
"0100","33.563590","-117.825010",660032
"0100","33.459490","-117.655830",290016
"0100","33.659140","-118.004690",1050004
"0100","33.429700","-117.615310",140016
"0100","33.563700","-117.825150",660033
"0100","33.459500","-117.655920",290017
"0100","33.659520","-118.005210",1050005
"0100","33.429740","-117.615530",140017
"0100","33.563900","-117.825480",660034
"0100","33.459530","-117.656010",290018
"0100","33.659937","-118.005774",1050006
"0100","33.429780","-117.615770",140018
"0100","33.564091","-117.825787",660035
"0100","33.459630","-117.656330",290019
"0100","33.659937","-118.005774",1060001
"0100","33.429800","-117.615869",140019
"0100","33.564091","-117.825787",670001
"0100","33.459720","-117.656650",290020
"0100","33.660090","-118.005980",1060002
"0100","33.429800","-117.615869",150001
"0100","33.564230","-117.826010",670002
"0100","33.459950","-117.657310",290021
"0100","33.660720","-118.006770",1060003
"0100","33.429850","-117.616120",150002
"0100","33.564480","-117.826420",670003
"0100","33.460090","-117.657710",290022
"0100","33.660840","-118.006940",1060004
"0100","33.429880","-117.616260",150003
"0100","33.564720","-117.826790",670004
"0100","33.460370","-117.658450",290023
"0100","33.661160","-118.007380",1060005
"0100","33.430000","-117.616940",150004
"0100","33.564840","-117.826990",670005
"0100","33.460500","-117.658790",290024
"0100","33.661183","-118.007413",1060006
"0100","33.430030","-117.617120",150005
"0100","33.565240","-117.827630",670006
"0100","33.460590","-117.659010",290025
"0100","33.661183","-118.007413",1070001
"0100","33.430050","-117.617240",150006
"0100","33.565380","-117.827850",670007
"0100","33.460720","-117.659340",290026
"0100","33.661290","-118.007570",1070002
"0100","33.430090","-117.617440",150007
"0100","33.565810","-117.828540",670008
"0100","33.460770","-117.659500",290027
"0100","33.661480","-118.007840",1070003
"0100","33.430160","-117.617860",150008
"0100","33.565900","-117.828690",670009
"0100","33.460810","-117.659740",290028
"0100","33.661870","-118.008370",1070004
"0100","33.430190","-117.618030",150009
"0100","33.566120","-117.829060",670010
